PackageName, Repository, Description, Link, Dependencies

base, Core, Minimal package set to define a basic Arch Linux installation, https://archlinux.org/packages/core/any/base/, bash bzip2 coreutils file filesystem findutils gawk gcc-libs gettext glibc grep gzip iproute2 iputils licenses pacman pciutils procps-ng psmisc sed shadow systemd systemd-sysvcompat tar util-linux xz
base-devel, [GROUP], Extra package set to define a extended Arch Linux installation, https://archlinux.org/groups/x86_64/base-devel/, autoconf automake binutils bison fakeroot file findutils flex gawk gcc gettext grep groff gzip libtool m4 make pacman patch pkgconf sed sudo texinfo which
linux-zen, Extra, Linux ZEN kernel and modules, https://archlinux.org/packages/extra/x86_64/linux-zen/, coreutils kmod
linux-firmware, Core, Firmware files for Linux, https://archlinux.org/packages/core/any/linux-firmware/, [NO DEPENDENCIES]
linux-zen-headers, Extra, Headers and scripts for building modules for the ZEN Linux kernel, https://archlinux.org/packages/extra/x86_64/linux-zen-headers/, pahole
systemd-libs, Core, systemd client libraries, https://archlinux.org/packages/core/x86_64/systemd-libs/, glibc libcap libgcrypt libp11-kit lz4 xz zstd
amd-ucode, Core, Microcode update image for AMD CPUs, https://archlinux.org/packages/core/any/amd-ucode/, [NO DEPENDENCIES]
dosfstools, Core, DOS filesystem utilities, https://archlinux.org/packages/core/x86_64/dosfstools/, glibc
mtools, Extra, Collection of utilities to access MS-DOS disks, https://archlinux.org/packages/extra/x86_64/mtools/, bash glibc
btrfs-progs, Core, Btrfs filesystem utilities, https://archlinux.org/packages/core/x86_64/btrfs-progs/, glibc libgcrypt lzo util-linux-libs zlib zstd
nano, Core, Pico editor clone with enhancements, https://archlinux.org/packages/core/x86_64/nano/, file ncurses
python, Extra, Next generation of the python high-level scripting language, https://archlinux.org/packages/extra/x86_64/python/, bzip2 expat gdbm libffi libnsl libxcrypt openssl zlib
networkmanager, Extra, Network connection manager and user applications, https://archlinux.org/packages/extra/x86_64/networkmanager/, audit bluez-libs curl iproute2 libmm-glib libndp libnewt libnm libpsl libteam mobile-broadband-provider-info polkit wpa_supplicant
bluez, Extra, Daemons for the bluetooth protocol stack, https://archlinux.org/packages/extra/x86_64/bluez/, alsa-lib dbus glib2 json-c libical
crda, Core, Central Regulatory Domain Agent for wireless networks, https://archlinux.org/packages/core/x86_64/crda/, wireless-regdb iw libgcrypt libnl systemd
nss, Core, Network Security Services, https://archlinux.org/packages/core/x86_64/nss/, nspr p11-kit sqlite zlib
firewalld, Community, Firewall daemon with D-Bus interface, https://archlinux.org/packages/community/any/firewalld/, dconf glib2 hicolor-icon-theme nftables python-decorator python-gobject python-slip
man-db, Core, Utility for reading man pages, https://archlinux.org/packages/core/x86_64/man-db/, gdbm groff less libpipeline libseccomp zlib
man-pages, Core, Linux man pages, https://archlinux.org/packages/core/any/man-pages/, [NO DEPENDENCIES]
git, Extra, Fast distributed version control system, https://archlinux.org/packages/extra/x86_64/git/, curl expat grep openssl pcre2 perl perl-error perl-mailtools shadow zlib
cmake, Extra, Cross-platform open-source make system, https://archlinux.org/packages/extra/x86_64/cmake/, curl hicolor-icon-theme jsoncpp libuv rhash
clang, Extra, C language family frontend for LLVM, https://archlinux.org/packages/extra/x86_64/clang/, compiler-rt gcc llvm-libs
zsh, Extra, A very advanced and programmable command interpreter (shell) for UNIX, https://archlinux.org/packages/extra/x86_64/zsh/, gdbm libcap pcre
udisks2, Extra, Disk Management Service v2, https://archlinux.org/packages/extra/x86_64/udisks2/, libatasmart libblockdev libgudev polkit
cockpit, Community, A systemd web based user interface for Linux servers, https://archlinux.org/packages/community/x86_64/cockpit/, accountsservice glib-networking jason-glib perl-json per-locale-po
