PackageName, Repository, Description, Link, Dependencies

noto-fonts, Extra, Google Noto TTF fonts, https://archlinux.org/packages/extra/any/noto-fonts/, [NO DEPENDENCIES]
noto-fonts-cjk, Extra, Google Noto CJK fonts, https://archlinux.org/packages/extra/any/noto-fonts-cjk/, [NO DEPENDENCIES]
noto-fonts-emoji, Extra, Google Noto emoji fonts, https://archlinux.org/packages/extra/any/noto-fonts-emoji/, [NO DEPENDENCIES]
noto-fonts-extra, Extra, Additional Noto variants, https://archlinux.org/packages/extra/any/noto-fonts-extra/, noto-fonts
ttf-fira-code, Community, Monospaced font with programming ligatures, https://archlinux.org/packages/community/any/ttf-fira-code/, [NO DEPENDENCIES]
cantarell-fonts, Extra, Humanist sans serif font, https://archlinux.org/packages/extra/any/cantarell-fonts/, [NO DEPENDENCIES]

gtk4, Extra, GObject-based GUI toolkit - v4, https://archlinux.org/packages/extra/x86_64/gtk4/, adwaita-icon-theme cairo cantarell-fonts colord dconf desktop-file-utils ffmpeg fontconfig fribidi gdk-pixbuf2 glib2 graphene gst-plugins-bad-libs gtk-update-icon-cache harfbuzz iso-codes json-glib libcloudproviders libcups libepoxy librsvg libx11 libxcomposite libxcursor libxdamage libxext libxfixes libxi libxinerama libxkbcommon libxrandr libxrender pango rest shared-mime-info tracker3 vulkan-headers vulkan-icd-loader wayland wayland-protocols
gtk3, Extra, GObject-based GUI toolkit - v3, https://archlinux.org/packages/extra/x86_64/gtk3/, adwaita-icon-theme at-spi2-atk atk cairo cantarell-fonts colord dconf desktop-file-utils fribidi gdk-pixbuf2 gtk-update-icon-cache iso-codes json-glib libcanberra libcloudproviders libcups libepoxy librsvg libxcomposite libxcursor libxdamage libxi libxinerama libxkbcommon libxrandr mesa pango rest shared-mime-info wayland wayland-protocols
gtk2, Extra, GObject-based GUI toolkit - v2 (legacy), https://archlinux.org/packages/extra/x86_64/gtk2/, atk cairo desktop-file-utils gtk-update-icon-cache libcups librsvg libxcomposite libxcursor libxdamage libxi libxinerama libxrandr pango shared-mime-info

qt5-base, Extra, Cross-platform application and UI framework, https://archlinux.org/packages/extra/x86_64/qt5-base/, double-conversion fontconfig libcups libinput libjpeg-turbo libproxy libxi libxkbcommon-x11 libxrender md4c mesa shared-mime-info sqlite tslib xcb-util-image xcb-util-keysyms xcb-util-renderutil xcb-util-wm xdg-utils
qt5-tools, Extra, Cross-platform application and UI framework, https://archlinux.org/packages/extra/x86_64/qt5-tools/, hicolor-icon-theme
qt5-script, Extra, Classes for making Qt scriptable. For Qt 4.x compatibility, https://archlinux.org/packages/extra/x86_64/qt5-script/, qt5-base
qt5-translations, Extra, Translations for Qt5, https://archlinux.org/packages/extra/any/qt5-translations/, qt5-base

qt6-base, Extra, Cross-platform application and UI framework, https://archlinux.org/packages/extra/x86_64/qt6-base/, broti double-conversion fontconfig libb2 libcups libinput libjpeg-turbo libproxy libxi libxkbcommon-x11 libxrender mesa shared-mime-info sqlite tslib xcb-util-cursor xcb-util-keysyms xcb-util-wm xdg-utils
qt6-tools, Extra, Coss-platform application and UI framework, https://archlinux.org/packages/extra/x86_64/qt6-tools/, qt6-base
qt6-translations, Extra, Translations for Qt6, https://archlinux.org/packages/extra/any/qt6-translations/, qt6-base

xorg-server, Extra, X.Org X server, https://archlinux.org/packages/extra/x86_64/xorg-server/, dbus libdrm libepoxy libglvnd libpciaccess libunwind libxshmfence nettle pixman xf86-input-libinput xorg-server-common
xorg-xinit, Extra, X.Org initialisation program, https://archlinux.org/packages/extra/x86_64/xorg-xinit/, libx11 xorg-xauth xorg-xmodmap xorg-xrb
lightdm, Extra, Lightweight display manager, https://archlinux.org/packages/extra/x86_64/lightdm/, glib2 libgcrypt libx11 libxcb libxdmcp libxklavier pam polkit
lightdm-gtk-greeter, Extra, GTK+ greeter for LightDM, https://archlinux.org/packages/extra/x86_64/lightdm-gtk-greeter/, gtk3 lightdm
picom, Community, X compositor, https://archlinux.org/packages/community/x86_64/picom/, hicolor-icon-theme libconfig dbus libev libglvnd pcre pixman xcb-util-image xcb-util-renderutil
icewm, Community, IceWM Window Manager, https://archlinux.org/packages/community/x86_64/icewm/, alsa-lib imlib2 librsvg libsndfile libxcomposite libxdamage libxinerama libxpm libxrandr
tint2, Community, Basic, good-looking task manager for WMs, https://archlinux.org/packages/community/x86_64/tint2/

kitty, Community, Modern OpenGL-based terminal emulator, https://archlinux.org/packages/community/x86_64/kitty/, dbus fontconfig freetype2 hicolor-icon-theme kitty-terminfo lcms2 libcanberra libx11 libxi libxkbcommon-x11 wayland
neofetch, Community, CLI system information tool, https://archlinux.org/packages/community/any/neofetch/, bash
gvfs, Extra, Virtual filesystem implementation for GIO, https://archlinux.org/packages/extra/x86_64/gvfs/, avahi dconf fuse3 gcr libarchive libbluray libcdio-paranoia libgudev libsecret libsoup psmisc udisks2
xarchiver, Community, GTK+ frontend to various command line archivers, https://archlinux.org/packages/community/x86_64/xarchiver/, gtk3
unrar, Extra, RAR uncompression program, https://archlinux.org/packages/extra/x86_64/unrar/, gcc-libs
unzip, Extra, For extracting and viewing files in .zip archives, https://archlinux.org/packages/extra/x86_64/unzip/, bash bzip2
p7zip, Extra, Command-line file archiver with high compression ratio, https://archlinux.org/packages/extra/x86_64/p7zip/, gcc-libs
