"PackageName", "Repository", "Description", "Link", "Dependencies"

"imagemagick", "Extra", "Image viewing and manipulation program", "https://archlinux.org/packages/extra/x86_64/imagemagick/", "fontconfig lcms2 libpng libraqm libxext libxml2"
"graphicsmagick", "Extra", "Image processing system", "https://archlinux.org/packages/extra/x86_64/graphicsmagick/", "bzip2 freetype2 lcms2 libtool libpng libsm libtiff libwebp libxext xz"
"flac", "Extra", "Free Lossless Audio Codec", "https://archlinux.org/packages/extra/x86_64/flac/", "gcc-libs libogg"

"microsoft-edge-dev-bin", "AUR", "Microsoft Edge browser (Dev release)", "https://aur.archlinux.org/packages/microsoft-edge-dev-bin/", "alsa-lib gtk3 libcups libdrm libxtst mesa nss"
"uget", "Community", "GTK download manager", "https://archlinux.org/packages/community/x86_64/uget/", "curl gstreamer gtk3 libnotify"

"visual-studio-code-bin", "AUR", "Microsoft Visual Studio Code (VSCode)", "https://aur.archlinux.org/packages/visual-studio-code-bin/", "gcc-libs glibc gnupg gtk3 libnotify libsecret libxkbfile libxss lsof nss shared-mime-info xdg-utils"
"notepadqq", "Community", "Notepad++-like text editor for Linux", "https://archlinux.org/packages/community/x86_64/notepadqq/", "desktop-file-utils hicolor-icon-theme qt5-svg qt5-webkit"

"wine", "Multilib", "A compatibility layer for running Windows programs", "https://archlinux.org/packages/multilib/x86_64/wine/", "desktop-file-utils faudio fontconfig freetype2 gcc-libs gettext glu lcms2 lib32-faudio lib32-fontconfig lib32-freetype2 lib32-gcc-libs lib32-gettext lib32-glu lib32-lcms2 libpcap libsm libxcursor libxdamage libxi libxml2 libxrandr lib32-libpcap lib32-libsm lib32-libxcursor lib32-libxdamage lib32-libxi lib32-libxml2 lib32-libxrandr"
"wine-mono", "Community", "Wine's built-in replacement for Microsoft's .NET Framework", "https://archlinux.org/packages/community/any/wine-mono/", "wine"
"wine-nine", "Multilib", "Gallium Nine Standalone", "https://archlinux.org/packages/multilib/x86_64/wine-nine/", "lib32-mesa wine"
"winetricks", "Multilib", "Script to install various redistributable runtime libraries in Wine", "https://archlinux.org/packages/multilib/x86_64/winetricks/", "cabextract perl unzip wine xorg-xmessage"

"vlc", "Extra", "Multi-platform MPEG", "VCD/DVD", "and DivX player"

"gimp", "Extra", "GNU Image Manipulation Program", "https://archlinux.org/packages/extra/x86_64/gimp/", "babl dbus-glib desktop-file-utils gegl glib-networking graphviz gtk2 hicolor-icon-theme lcms2 libexif libgudev libheif libmng libmypaint librsvg libwebp libwmf libxmu libxpm mypaint-brushes1 openexr openjpeg2 poppler-data"
"krita", "Extra", "Professional and open source painting program", "https://archlinux.org/packages/extra/x86_64/krita/", "exiv2 fftw gliflib gsl hicolor-icon-theme kcompletion kcrash kguiaddons ki18n kitemmodels kitemviews libraw openexr openjpeg2 qt5-multimedia qt5-svg quazip"
"inkscape", "Extra", "Professional vector graphics editor", "https://archlinux.org/packages/extra/x86_64/inkscape/", "aspell dbus-glib double-conversion gc gdl graphicsmagick gsl gtkmm3 gtkspell3 libcdr libjpeg-turbo libvisio libxslt poppler-glib potrace python"
"obs-studio", "Community", "Open Broadcaster Software Studio", "https://archlinux.org/packages/community/x86_64/obs-studio/", "curl ffmpeg gtk-update-icon-cache jack jansson libxinerama libxkbcommon-x11 mbedtls qt5-svg qt5-x11extras"
"org.audacityteam.Audacity", "[FLATHUB]", "Record and edit audio files", "https://flathub.org/apps/details/org.audacityteam.Audacity", "[NO-DEPENDENCIES]"
